Request ID,Department,Request Type,Priority,Status,Ward,Date Opened,Date Closed,Channel,Citizen Satisfaction,Resolution Days,Target Days,Resolved Within Target,Opened Month,Opened Year,Opened Quarter,Is Closed
SR-2025-00460,Public Works,Pothole Repair,Medium,Closed,Ward 1,2025-12-22,2025-12-29,Email,4.0,7.0,10,Yes,2025-12,2025,4,Yes
SR-2025-00461,By-law Enforcement,Parking Complaint,Low,Open,Ward 3,2025-06-02,,Email,,,14,Pending,2025-06,2025,2,No
SR-2025-00462,Transportation Services,Road Sign Damage,Medium,Closed,Ward 4,2025-03-10,2025-03-17,Mobile App,5.0,7.0,10,Yes,2025-03,2025,1,Yes
SR-2025-00463,Parks and Recreation,Park Equipment Damage,Critical,In Progress,Ward 1,2025-07-26,,Phone,,,3,Pending,2025-07,2025,3,No
SR-2025-00464,Parks and Recreation,Park Equipment Damage,Low,Closed,Ward 1,2025-09-16,2025-09-21,Email,3.0,5.0,14,Yes,2025-09,2025,3,Yes
SR-2025-00465,Transportation Services,Road Sign Damage,High,Closed,Ward 1,2025-11-01,2025-11-02,Web,5.0,1.0,7,Yes,2025-11,2025,4,Yes
SR-2025-00466,Transportation Services,Streetlight Repair,Medium,Closed,Ward 2,2025-10-08,2025-10-14,Phone,4.0,6.0,10,Yes,2025-10,2025,4,Yes
SR-2025-00467,Transportation Services,Streetlight Repair,Medium,Closed,Ward 5,2025-12-06,2025-12-16,Phone,3.0,10.0,10,Yes,2025-12,2025,4,Yes
SR-2025-00468,Water Services,Water Leak,Medium,Closed,Ward 4,2025-05-25,2025-05-28,Phone,5.0,3.0,10,Yes,2025-05,2025,2,Yes
SR-2025-00469,By-law Enforcement,Property Standards,High,Open,Ward 3,2025-04-14,,Email,,,7,Pending,2025-04,2025,2,No
SR-2025-00470,Waste Management,Recycling Issue,Low,Closed,Ward 3,2025-04-17,2025-05-01,Phone,5.0,14.0,14,Yes,2025-04,2025,2,Yes
SR-2025-00471,Public Works,Pothole Repair,Medium,In Progress,Ward 4,2025-10-21,,Phone,,,10,Pending,2025-10,2025,4,No
SR-2025-00472,Public Works,Pothole Repair,High,Closed,Ward 3,2025-05-12,2025-05-18,Mobile App,3.0,6.0,7,Yes,2025-05,2025,2,Yes
SR-2025-00473,Water Services,Water Leak,Low,Closed,Ward 3,2025-01-21,2025-01-28,Email,4.0,7.0,14,Yes,2025-01,2025,1,Yes
SR-2025-00474,Transportation Services,Streetlight Repair,Low,Open,Ward 1,2025-01-24,,Phone,,,14,Pending,2025-01,2025,1,No
SR-2025-00475,Transportation Services,Traffic Signal Issue,Medium,In Progress,Ward 3,2025-11-15,,Web,,,10,Pending,2025-11,2025,4,No
SR-2025-00476,Waste Management,Illegal Dumping,Low,Closed,Ward 4,2025-08-22,2025-08-29,Email,5.0,7.0,14,Yes,2025-08,2025,3,Yes
SR-2025-00477,Transportation Services,Traffic Signal Issue,Low,Closed,Ward 5,2025-01-31,2025-02-05,Email,2.0,5.0,14,Yes,2025-01,2025,1,Yes
SR-2025-00478,By-law Enforcement,Animal Complaint,Low,Closed,Ward 2,2025-07-03,2025-07-15,Email,1.0,12.0,14,Yes,2025-07,2025,3,Yes
SR-2025-00479,Water Services,Water Leak,High,Closed,Ward 1,2025-02-02,2025-02-05,In Person,4.0,3.0,7,Yes,2025-02,2025,1,Yes
SR-2025-00480,Transportation Services,Traffic Signal Issue,Critical,Closed,Ward 2,2025-06-23,2025-06-23,Email,4.0,0.0,3,Yes,2025-06,2025,2,Yes
SR-2025-00481,Waste Management,Green Bin Issue,Low,Open,Ward 1,2025-11-10,,Web,,,14,Pending,2025-11,2025,4,No
SR-2025-00482,Transportation Services,Traffic Signal Issue,Medium,Closed,Ward 4,2025-09-11,2025-09-15,Mobile App,2.0,4.0,10,Yes,2025-09,2025,3,Yes
SR-2025-00483,Parks and Recreation,Grass Cutting,Critical,Closed,Ward 2,2025-04-25,2025-04-28,Web,4.0,3.0,3,Yes,2025-04,2025,2,Yes
SR-2025-00484,Water Services,Water Quality Concern,High,Closed,Ward 4,2025-09-13,2025-09-17,Web,4.0,4.0,7,Yes,2025-09,2025,3,Yes
SR-2025-00485,Public Works,Snow Removal,Medium,Closed,Ward 5,2025-01-01,2025-01-04,Mobile App,5.0,3.0,10,Yes,2025-01,2025,1,Yes
SR-2025-00486,By-law Enforcement,Property Standards,Medium,Closed,Ward 2,2025-06-24,2025-07-01,Email,5.0,7.0,10,Yes,2025-06,2025,2,Yes
SR-2025-00487,Waste Management,Green Bin Issue,High,Closed,Ward 2,2025-08-20,2025-08-21,Web,2.0,1.0,7,Yes,2025-08,2025,3,Yes
SR-2025-00488,Waste Management,Illegal Dumping,High,In Progress,Ward 5,2025-05-30,,In Person,,,7,Pending,2025-05,2025,2,No
SR-2025-00489,Waste Management,Missed Garbage Pickup,Low,Closed,Ward 4,2025-03-13,2025-03-27,Web,5.0,14.0,14,Yes,2025-03,2025,1,Yes
SR-2025-00490,Waste Management,Recycling Issue,Low,In Progress,Ward 2,2025-07-21,,Email,,,14,Pending,2025-07,2025,3,No
SR-2025-00491,Parks and Recreation,Grass Cutting,Low,Closed,Ward 4,2025-11-21,2025-12-04,Email,4.0,13.0,14,Yes,2025-11,2025,4,Yes
SR-2025-00492,Transportation Services,Traffic Signal Issue,Critical,Closed,Ward 4,2025-01-25,2025-01-28,In Person,5.0,3.0,3,Yes,2025-01,2025,1,Yes
SR-2025-00493,Parks and Recreation,Park Equipment Damage,High,Closed,Ward 3,2025-07-18,2025-07-24,In Person,4.0,6.0,7,Yes,2025-07,2025,3,Yes
SR-2025-00494,Water Services,Water Quality Concern,Critical,In Progress,Ward 3,2025-05-08,,Email,,,3,Pending,2025-05,2025,2,No
SR-2025-00495,Waste Management,Illegal Dumping,Medium,Closed,Ward 5,2025-07-31,2025-08-10,Mobile App,4.0,10.0,10,Yes,2025-07,2025,3,Yes
SR-2025-00496,Transportation Services,Traffic Signal Issue,Low,Closed,Ward 2,2025-05-29,2025-06-11,Phone,4.0,13.0,14,Yes,2025-05,2025,2,Yes
SR-2025-00497,By-law Enforcement,Parking Complaint,High,Open,Ward 4,2025-10-15,,In Person,,,7,Pending,2025-10,2025,4,No
SR-2025-00498,By-law Enforcement,Animal Complaint,Medium,In Progress,Ward 3,2025-10-01,,Email,,,10,Pending,2025-10,2025,4,No
SR-2025-00499,Public Works,Pothole Repair,Low,Closed,Ward 2,2025-12-10,2025-12-13,Mobile App,3.0,3.0,14,Yes,2025-12,2025,4,Yes
SR-2025-00500,Transportation Services,Road Sign Damage,Low,Closed,Ward 1,2025-06-01,2025-06-07,Mobile App,5.0,6.0,14,Yes,2025-06,2025,2,Yes
SR-2025-00501,Water Services,Water Leak,Medium,Closed,Ward 5,2025-10-15,2025-10-20,Email,5.0,5.0,10,Yes,2025-10,2025,4,Yes
SR-2025-00502,Parks and Recreation,Grass Cutting,Medium,Closed,Ward 3,2025-07-15,2025-07-23,In Person,4.0,8.0,10,Yes,2025-07,2025,3,Yes
SR-2025-00503,Public Works,Pothole Repair,High,Closed,Ward 3,2025-08-15,2025-08-22,In Person,3.0,7.0,7,Yes,2025-08,2025,3,Yes
SR-2025-00504,By-law Enforcement,Property Standards,High,In Progress,Ward 4,2025-05-31,,Phone,,,7,Pending,2025-05,2025,2,No
SR-2025-00505,Transportation Services,Streetlight Repair,Low,Closed,Ward 4,2025-09-21,2025-09-25,Mobile App,4.0,4.0,14,Yes,2025-09,2025,3,Yes
SR-2025-00506,By-law Enforcement,Parking Complaint,Low,Closed,Ward 2,2025-05-11,2025-05-14,Web,4.0,3.0,14,Yes,2025-05,2025,2,Yes
SR-2025-00507,Parks and Recreation,Grass Cutting,Medium,Open,Ward 5,2025-11-17,,Mobile App,,,10,Pending,2025-11,2025,4,No
SR-2025-00508,Water Services,Sewer Backup,Low,Closed,Ward 5,2025-09-27,2025-10-03,Web,5.0,6.0,14,Yes,2025-09,2025,3,Yes
SR-2025-00509,By-law Enforcement,Property Standards,Medium,Closed,Ward 2,2025-02-17,2025-02-24,Mobile App,3.0,7.0,10,Yes,2025-02,2025,1,Yes
SR-2025-00510,Waste Management,Illegal Dumping,Medium,In Progress,Ward 5,2025-11-13,,Email,,,10,Pending,2025-11,2025,4,No
SR-2025-00511,By-law Enforcement,Noise Complaint,Low,Closed,Ward 5,2025-05-04,2025-05-17,Phone,4.0,13.0,14,Yes,2025-05,2025,2,Yes
SR-2025-00512,Public Works,Sidewalk Damage,Medium,Open,Ward 4,2025-02-28,,Mobile App,,,10,Pending,2025-02,2025,1,No
SR-2025-00513,By-law Enforcement,Parking Complaint,Low,Closed,Ward 4,2025-07-11,2025-07-22,Email,5.0,11.0,14,Yes,2025-07,2025,3,Yes
SR-2025-00514,Public Works,Sidewalk Damage,High,Closed,Ward 2,2025-09-21,2025-09-22,In Person,5.0,1.0,7,Yes,2025-09,2025,3,Yes
SR-2025-00515,By-law Enforcement,Noise Complaint,Medium,Closed,Ward 4,2025-11-19,2025-11-24,Web,5.0,5.0,10,Yes,2025-11,2025,4,Yes
SR-2025-00516,Parks and Recreation,Trail Maintenance,Medium,In Progress,Ward 2,2025-12-18,,Web,,,10,Pending,2025-12,2025,4,No
SR-2025-00517,Water Services,Sewer Backup,Low,Closed,Ward 1,2025-04-02,2025-04-17,In Person,3.0,15.0,14,No,2025-04,2025,2,Yes
SR-2025-00518,Parks and Recreation,Grass Cutting,Medium,Closed,Ward 4,2025-07-27,2025-08-04,Web,4.0,8.0,10,Yes,2025-07,2025,3,Yes
SR-2025-00519,By-law Enforcement,Noise Complaint,Medium,Closed,Ward 1,2025-10-27,2025-10-29,Mobile App,5.0,2.0,10,Yes,2025-10,2025,4,Yes
SR-2025-00520,By-law Enforcement,Noise Complaint,Medium,Closed,Ward 4,2025-11-07,2025-11-10,Email,3.0,3.0,10,Yes,2025-11,2025,4,Yes
SR-2025-00521,Water Services,Water Leak,Medium,Closed,Ward 5,2025-03-11,2025-03-19,Mobile App,5.0,8.0,10,Yes,2025-03,2025,1,Yes
SR-2025-00522,Transportation Services,Traffic Signal Issue,Medium,In Progress,Ward 3,2025-11-28,,Web,,,10,Pending,2025-11,2025,4,No
SR-2025-00523,By-law Enforcement,Property Standards,Low,Closed,Ward 1,2025-11-02,2025-11-11,Mobile App,4.0,9.0,14,Yes,2025-11,2025,4,Yes
SR-2025-00524,Parks and Recreation,Grass Cutting,Low,In Progress,Ward 2,2025-09-20,,Phone,,,14,Pending,2025-09,2025,3,No
SR-2025-00525,Parks and Recreation,Park Equipment Damage,Medium,Closed,Ward 5,2025-02-28,2025-03-04,Web,5.0,4.0,10,Yes,2025-02,2025,1,Yes
SR-2025-00526,By-law Enforcement,Animal Complaint,Medium,Closed,Ward 2,2025-12-10,2025-12-13,In Person,3.0,3.0,10,Yes,2025-12,2025,4,Yes
SR-2025-00527,Water Services,Sewer Backup,Medium,Closed,Ward 1,2025-05-01,2025-05-04,Phone,3.0,3.0,10,Yes,2025-05,2025,2,Yes
SR-2025-00528,Waste Management,Green Bin Issue,Medium,Closed,Ward 3,2025-06-06,2025-06-10,Mobile App,4.0,4.0,10,Yes,2025-06,2025,2,Yes
SR-2025-00529,Water Services,Low Water Pressure,Low,Closed,Ward 4,2025-04-24,2025-05-08,Mobile App,5.0,14.0,14,Yes,2025-04,2025,2,Yes
SR-2025-00530,Waste Management,Recycling Issue,Medium,Closed,Ward 3,2025-09-03,2025-09-12,Email,4.0,9.0,10,Yes,2025-09,2025,3,Yes
SR-2025-00531,By-law Enforcement,Noise Complaint,Low,Closed,Ward 2,2025-05-24,2025-05-29,Mobile App,5.0,5.0,14,Yes,2025-05,2025,2,Yes
SR-2025-00532,Transportation Services,Streetlight Repair,High,In Progress,Ward 1,2025-09-17,,In Person,,,7,Pending,2025-09,2025,3,No
SR-2025-00533,By-law Enforcement,Animal Complaint,High,Closed,Ward 5,2025-01-19,2025-01-24,Email,3.0,5.0,7,Yes,2025-01,2025,1,Yes
SR-2025-00534,Transportation Services,Traffic Signal Issue,Medium,Closed,Ward 5,2025-10-29,2025-11-04,In Person,3.0,6.0,10,Yes,2025-10,2025,4,Yes
SR-2025-00535,Public Works,Snow Removal,Medium,Closed,Ward 2,2025-05-03,2025-05-07,Email,5.0,4.0,10,Yes,2025-05,2025,2,Yes
SR-2025-00536,Parks and Recreation,Park Equipment Damage,Medium,Closed,Ward 1,2025-03-16,2025-03-25,Phone,5.0,9.0,10,Yes,2025-03,2025,1,Yes
SR-2025-00537,Water Services,Low Water Pressure,Low,Closed,Ward 3,2025-01-22,2025-02-04,Email,3.0,13.0,14,Yes,2025-01,2025,1,Yes
SR-2025-00538,Water Services,Water Quality Concern,High,Closed,Ward 5,2025-11-29,2025-12-02,Mobile App,2.0,3.0,7,Yes,2025-11,2025,4,Yes
SR-2025-00539,Transportation Services,Road Sign Damage,Medium,Closed,Ward 1,2025-07-12,2025-07-20,In Person,4.0,8.0,10,Yes,2025-07,2025,3,Yes
SR-2025-00540,Waste Management,Green Bin Issue,Critical,Closed,Ward 3,2025-07-27,2025-07-29,Email,5.0,2.0,3,Yes,2025-07,2025,3,Yes
SR-2025-00541,Water Services,Water Leak,Medium,Closed,Ward 3,2025-03-26,2025-03-31,Phone,2.0,5.0,10,Yes,2025-03,2025,1,Yes
SR-2025-00542,Parks and Recreation,Park Equipment Damage,Low,Closed,Ward 3,2025-03-02,2025-03-15,Web,3.0,13.0,14,Yes,2025-03,2025,1,Yes
SR-2025-00543,Water Services,Water Quality Concern,Medium,Closed,Ward 1,2025-11-28,2025-12-06,Phone,1.0,8.0,10,Yes,2025-11,2025,4,Yes
SR-2025-00544,By-law Enforcement,Property Standards,Low,Closed,Ward 3,2025-10-21,2025-10-26,Phone,2.0,5.0,14,Yes,2025-10,2025,4,Yes
SR-2025-00545,By-law Enforcement,Animal Complaint,Medium,Closed,Ward 2,2025-01-10,2025-01-16,Email,5.0,6.0,10,Yes,2025-01,2025,1,Yes
SR-2025-00546,By-law Enforcement,Animal Complaint,High,Closed,Ward 5,2025-07-30,2025-08-04,Phone,3.0,5.0,7,Yes,2025-07,2025,3,Yes
SR-2025-00547,By-law Enforcement,Parking Complaint,Low,Closed,Ward 2,2025-08-21,2025-09-02,Email,4.0,12.0,14,Yes,2025-08,2025,3,Yes
SR-2025-00548,Water Services,Low Water Pressure,Low,Closed,Ward 2,2025-09-16,2025-09-29,In Person,4.0,13.0,14,Yes,2025-09,2025,3,Yes
SR-2025-00549,Public Works,Road Damage,Medium,Closed,Ward 1,2025-01-20,2025-01-30,Web,4.0,10.0,10,Yes,2025-01,2025,1,Yes
SR-2025-00550,Water Services,Low Water Pressure,High,Closed,Ward 4,2025-01-01,2025-01-08,In Person,5.0,7.0,7,Yes,2025-01,2025,1,Yes
SR-2025-00551,Water Services,Sewer Backup,High,Closed,Ward 4,2025-08-08,2025-08-10,Email,5.0,2.0,7,Yes,2025-08,2025,3,Yes
SR-2025-00552,Waste Management,Missed Garbage Pickup,Medium,Closed,Ward 5,2025-04-30,2025-05-03,Email,3.0,3.0,10,Yes,2025-04,2025,2,Yes
SR-2025-00553,Waste Management,Recycling Issue,Low,Open,Ward 5,2025-01-04,,In Person,,,14,Pending,2025-01,2025,1,No
SR-2025-00554,Public Works,Pothole Repair,Medium,Closed,Ward 2,2025-06-11,2025-06-19,Email,4.0,8.0,10,Yes,2025-06,2025,2,Yes
SR-2025-00555,Transportation Services,Road Sign Damage,Medium,Closed,Ward 4,2025-10-17,2025-10-24,Phone,4.0,7.0,10,Yes,2025-10,2025,4,Yes
SR-2025-00556,Water Services,Water Quality Concern,Low,Closed,Ward 5,2025-09-05,2025-09-12,Mobile App,5.0,7.0,14,Yes,2025-09,2025,3,Yes
SR-2025-00557,Transportation Services,Traffic Concern,High,Open,Ward 1,2025-12-04,,Phone,,,7,Pending,2025-12,2025,4,No
SR-2025-00558,Water Services,Low Water Pressure,Low,Closed,Ward 1,2025-06-23,2025-07-08,Phone,4.0,15.0,14,No,2025-06,2025,2,Yes
SR-2025-00559,Water Services,Water Leak,High,Open,Ward 5,2025-08-30,,Email,,,7,Pending,2025-08,2025,3,No
SR-2025-00560,Public Works,Pothole Repair,Medium,Closed,Ward 4,2025-11-08,2025-11-10,In Person,5.0,2.0,10,Yes,2025-11,2025,4,Yes
SR-2025-00561,Transportation Services,Road Sign Damage,High,Closed,Ward 1,2025-03-31,2025-04-06,Phone,4.0,6.0,7,Yes,2025-03,2025,1,Yes
SR-2025-00562,Transportation Services,Road Sign Damage,Low,Open,Ward 5,2025-09-19,,Phone,,,14,Pending,2025-09,2025,3,No
SR-2025-00563,By-law Enforcement,Property Standards,Medium,Closed,Ward 1,2025-12-02,2025-12-04,Mobile App,5.0,2.0,10,Yes,2025-12,2025,4,Yes
SR-2025-00564,Water Services,Sewer Backup,Medium,Closed,Ward 1,2025-04-13,2025-04-23,Web,1.0,10.0,10,Yes,2025-04,2025,2,Yes
SR-2025-00565,By-law Enforcement,Parking Complaint,High,Closed,Ward 3,2025-10-26,2025-10-29,Phone,4.0,3.0,7,Yes,2025-10,2025,4,Yes
SR-2025-00566,By-law Enforcement,Property Standards,Medium,Closed,Ward 5,2025-01-03,2025-01-09,Web,3.0,6.0,10,Yes,2025-01,2025,1,Yes
SR-2025-00567,By-law Enforcement,Noise Complaint,Medium,Closed,Ward 5,2025-03-01,2025-03-11,In Person,5.0,10.0,10,Yes,2025-03,2025,1,Yes
SR-2025-00568,Waste Management,Green Bin Issue,Critical,Closed,Ward 4,2025-05-05,2025-05-07,Email,5.0,2.0,3,Yes,2025-05,2025,2,Yes
SR-2025-00569,By-law Enforcement,Noise Complaint,Medium,Closed,Ward 2,2025-07-15,2025-07-20,Mobile App,5.0,5.0,10,Yes,2025-07,2025,3,Yes
SR-2025-00570,Water Services,Sewer Backup,Medium,Closed,Ward 4,2025-05-15,2025-05-20,Mobile App,3.0,5.0,10,Yes,2025-05,2025,2,Yes
SR-2025-00571,Public Works,Road Damage,Medium,Closed,Ward 2,2025-10-21,2025-10-27,Email,3.0,6.0,10,Yes,2025-10,2025,4,Yes
SR-2025-00572,Transportation Services,Traffic Signal Issue,Low,Closed,Ward 2,2025-05-16,2025-05-22,In Person,3.0,6.0,14,Yes,2025-05,2025,2,Yes
SR-2025-00573,Waste Management,Recycling Issue,High,Closed,Ward 4,2025-02-10,2025-02-16,In Person,5.0,6.0,7,Yes,2025-02,2025,1,Yes
SR-2025-00574,Public Works,Pothole Repair,High,Closed,Ward 5,2025-06-11,2025-06-15,Mobile App,5.0,4.0,7,Yes,2025-06,2025,2,Yes
SR-2025-00575,Water Services,Low Water Pressure,Critical,In Progress,Ward 4,2025-05-24,,Phone,,,3,Pending,2025-05,2025,2,No
SR-2025-00576,By-law Enforcement,Property Standards,Low,Open,Ward 5,2025-09-02,,Web,,,14,Pending,2025-09,2025,3,No
SR-2025-00577,By-law Enforcement,Parking Complaint,Medium,Closed,Ward 5,2025-03-31,2025-04-09,Email,5.0,9.0,10,Yes,2025-03,2025,1,Yes
SR-2025-00578,Waste Management,Missed Garbage Pickup,Low,Closed,Ward 5,2025-10-25,2025-10-29,Mobile App,4.0,4.0,14,Yes,2025-10,2025,4,Yes
SR-2025-00579,Parks and Recreation,Grass Cutting,Low,Closed,Ward 4,2025-11-10,2025-11-18,Email,4.0,8.0,14,Yes,2025-11,2025,4,Yes
SR-2025-00580,Parks and Recreation,Trail Maintenance,High,Closed,Ward 5,2025-07-25,2025-07-28,Phone,4.0,3.0,7,Yes,2025-07,2025,3,Yes
SR-2025-00581,By-law Enforcement,Property Standards,High,Closed,Ward 4,2025-05-01,2025-05-06,Phone,4.0,5.0,7,Yes,2025-05,2025,2,Yes
SR-2025-00582,Parks and Recreation,Park Equipment Damage,Medium,Closed,Ward 5,2025-08-04,2025-08-13,In Person,3.0,9.0,10,Yes,2025-08,2025,3,Yes
SR-2025-00583,Transportation Services,Road Sign Damage,High,Closed,Ward 4,2025-10-15,2025-10-22,Web,4.0,7.0,7,Yes,2025-10,2025,4,Yes
SR-2025-00584,Transportation Services,Traffic Signal Issue,Low,Open,Ward 1,2025-09-01,,Email,,,14,Pending,2025-09,2025,3,No
SR-2025-00585,Transportation Services,Road Sign Damage,Medium,Closed,Ward 4,2025-10-13,2025-10-19,Web,4.0,6.0,10,Yes,2025-10,2025,4,Yes
SR-2025-00586,Waste Management,Recycling Issue,Medium,Closed,Ward 3,2025-10-03,2025-10-07,Mobile App,5.0,4.0,10,Yes,2025-10,2025,4,Yes
SR-2025-00587,Waste Management,Green Bin Issue,High,Closed,Ward 4,2025-02-10,2025-02-14,Phone,4.0,4.0,7,Yes,2025-02,2025,1,Yes
SR-2025-00588,Parks and Recreation,Grass Cutting,Medium,Closed,Ward 3,2025-07-27,2025-07-30,Phone,2.0,3.0,10,Yes,2025-07,2025,3,Yes
SR-2025-00589,Waste Management,Illegal Dumping,Medium,Closed,Ward 4,2025-11-06,2025-11-14,Mobile App,3.0,8.0,10,Yes,2025-11,2025,4,Yes
SR-2025-00590,Transportation Services,Traffic Concern,Medium,Closed,Ward 3,2025-01-12,2025-01-16,Web,5.0,4.0,10,Yes,2025-01,2025,1,Yes
SR-2025-00591,Parks and Recreation,Park Equipment Damage,Medium,Closed,Ward 4,2025-08-31,2025-09-10,In Person,2.0,10.0,10,Yes,2025-08,2025,3,Yes
SR-2025-00592,Public Works,Pothole Repair,Medium,Closed,Ward 2,2025-12-02,2025-12-10,Mobile App,4.0,8.0,10,Yes,2025-12,2025,4,Yes
SR-2025-00593,Water Services,Low Water Pressure,Low,Open,Ward 1,2025-01-15,,Mobile App,,,14,Pending,2025-01,2025,1,No
SR-2025-00594,Waste Management,Green Bin Issue,Medium,In Progress,Ward 5,2025-05-20,,Email,,,10,Pending,2025-05,2025,2,No
SR-2025-00595,Parks and Recreation,Park Equipment Damage,Medium,Closed,Ward 5,2025-11-22,2025-11-30,Mobile App,4.0,8.0,10,Yes,2025-11,2025,4,Yes
SR-2025-00596,Waste Management,Green Bin Issue,Medium,Open,Ward 3,2025-08-15,,Mobile App,,,10,Pending,2025-08,2025,3,No
SR-2025-00597,Water Services,Sewer Backup,Low,Closed,Ward 3,2025-09-25,2025-10-10,Mobile App,5.0,15.0,14,No,2025-09,2025,3,Yes
SR-2025-00598,Water Services,Water Leak,Medium,Closed,Ward 4,2025-09-02,2025-09-08,Mobile App,1.0,6.0,10,Yes,2025-09,2025,3,Yes
SR-2025-00599,By-law Enforcement,Property Standards,High,Closed,Ward 4,2025-04-07,2025-04-11,Email,5.0,4.0,7,Yes,2025-04,2025,2,Yes
SR-2025-00600,Parks and Recreation,Park Equipment Damage,High,Closed,Ward 4,2025-07-13,2025-07-15,Phone,3.0,2.0,7,Yes,2025-07,2025,3,Yes
SR-2025-00601,By-law Enforcement,Parking Complaint,Medium,Open,Ward 4,2025-05-18,,Phone,,,10,Pending,2025-05,2025,2,No
SR-2025-00602,Public Works,Road Damage,Low,Closed,Ward 5,2025-08-22,2025-09-03,Email,4.0,12.0,14,Yes,2025-08,2025,3,Yes
SR-2025-00603,Parks and Recreation,Grass Cutting,Low,Closed,Ward 1,2025-10-01,2025-10-04,Mobile App,3.0,3.0,14,Yes,2025-10,2025,4,Yes
SR-2025-00604,Waste Management,Recycling Issue,High,Closed,Ward 4,2025-04-30,2025-05-01,Phone,3.0,1.0,7,Yes,2025-04,2025,2,Yes
SR-2025-00605,Waste Management,Green Bin Issue,Medium,Open,Ward 4,2025-07-10,,Web,,,10,Pending,2025-07,2025,3,No
SR-2025-00606,Waste Management,Missed Garbage Pickup,High,In Progress,Ward 3,2025-01-29,,Email,,,7,Pending,2025-01,2025,1,No
SR-2025-00607,Public Works,Snow Removal,Low,In Progress,Ward 4,2025-05-09,,Web,,,14,Pending,2025-05,2025,2,No
SR-2025-00608,Public Works,Road Damage,Medium,In Progress,Ward 1,2025-05-07,,Phone,,,10,Pending,2025-05,2025,2,No
SR-2025-00609,Water Services,Water Leak,Medium,In Progress,Ward 4,2025-08-31,,Mobile App,,,10,Pending,2025-08,2025,3,No
SR-2025-00610,Waste Management,Recycling Issue,Medium,Closed,Ward 4,2025-10-09,2025-10-19,Mobile App,3.0,10.0,10,Yes,2025-10,2025,4,Yes
SR-2025-00611,Parks and Recreation,Grass Cutting,High,In Progress,Ward 1,2025-04-22,,Phone,,,7,Pending,2025-04,2025,2,No
SR-2025-00612,Transportation Services,Traffic Concern,Medium,Closed,Ward 2,2025-05-22,2025-05-25,Web,4.0,3.0,10,Yes,2025-05,2025,2,Yes
SR-2025-00613,Public Works,Snow Removal,Medium,Closed,Ward 1,2025-02-15,2025-02-20,In Person,3.0,5.0,10,Yes,2025-02,2025,1,Yes
SR-2025-00614,Waste Management,Missed Garbage Pickup,Low,Closed,Ward 2,2025-12-26,2026-01-06,Email,5.0,11.0,14,Yes,2025-12,2025,4,Yes
SR-2025-00615,Parks and Recreation,Grass Cutting,Critical,Open,Ward 4,2025-06-27,,Phone,,,3,Pending,2025-06,2025,2,No
SR-2025-00616,Public Works,Snow Removal,Medium,Closed,Ward 5,2025-01-21,2025-01-30,Mobile App,5.0,9.0,10,Yes,2025-01,2025,1,Yes
SR-2025-00617,By-law Enforcement,Animal Complaint,Low,Closed,Ward 3,2025-06-28,2025-07-06,In Person,5.0,8.0,14,Yes,2025-06,2025,2,Yes
SR-2025-00618,By-law Enforcement,Property Standards,Low,Closed,Ward 4,2025-06-01,2025-06-08,Web,4.0,7.0,14,Yes,2025-06,2025,2,Yes
SR-2025-00619,Transportation Services,Traffic Concern,High,In Progress,Ward 3,2025-11-14,,In Person,,,7,Pending,2025-11,2025,4,No
SR-2025-00620,Parks and Recreation,Grass Cutting,High,Closed,Ward 5,2025-10-03,2025-10-10,Email,4.0,7.0,7,Yes,2025-10,2025,4,Yes
SR-2025-00621,By-law Enforcement,Property Standards,Medium,Closed,Ward 5,2025-11-25,2025-12-02,Web,3.0,7.0,10,Yes,2025-11,2025,4,Yes
SR-2025-00622,Public Works,Road Damage,Low,Closed,Ward 1,2025-02-24,2025-03-06,In Person,3.0,10.0,14,Yes,2025-02,2025,1,Yes
SR-2025-00623,Transportation Services,Traffic Concern,Medium,Closed,Ward 2,2025-12-26,2026-01-01,In Person,2.0,6.0,10,Yes,2025-12,2025,4,Yes
SR-2025-00624,Transportation Services,Streetlight Repair,Low,In Progress,Ward 4,2025-12-02,,Web,,,14,Pending,2025-12,2025,4,No
SR-2025-00625,Water Services,Water Leak,Medium,Open,Ward 3,2025-08-01,,Web,,,10,Pending,2025-08,2025,3,No
SR-2025-00626,By-law Enforcement,Parking Complaint,Medium,Closed,Ward 5,2025-06-05,2025-06-08,Web,5.0,3.0,10,Yes,2025-06,2025,2,Yes
SR-2025-00627,Public Works,Road Damage,Medium,Closed,Ward 2,2025-09-27,2025-10-02,In Person,4.0,5.0,10,Yes,2025-09,2025,3,Yes
SR-2025-00628,Transportation Services,Traffic Concern,High,Open,Ward 3,2025-10-23,,Email,,,7,Pending,2025-10,2025,4,No
SR-2025-00629,Transportation Services,Traffic Concern,High,Closed,Ward 3,2025-04-03,2025-04-08,Phone,4.0,5.0,7,Yes,2025-04,2025,2,Yes
SR-2025-00630,By-law Enforcement,Animal Complaint,High,In Progress,Ward 3,2025-10-09,,Mobile App,,,7,Pending,2025-10,2025,4,No
SR-2025-00631,Water Services,Water Quality Concern,High,Closed,Ward 4,2025-05-04,2025-05-09,In Person,4.0,5.0,7,Yes,2025-05,2025,2,Yes
SR-2025-00632,Transportation Services,Road Sign Damage,Medium,Closed,Ward 3,2025-07-23,2025-07-25,In Person,5.0,2.0,10,Yes,2025-07,2025,3,Yes
